,tweet_id
1,518574070976512000
2,520586635424305152
3,520166216439431168
4,517669498481291264
5,521932367452069889
6,518717535777460224
7,524337325166567424
8,517842293823262722
9,524785350540275712
10,527204474079940608
11,518067605643722753
12,524911886597652480
13,517525037033603072
14,526027974928531456
15,517895223218044928
16,517301677511045121
17,525830099996663808
18,521189904479682560
19,517837154412949505
20,517101677712007168
21,517103420856340480
22,517107565785001984
23,527605079579570176
24,524038535998107648
25,524039526462005249
26,524039947339456512
27,522061313246117889
28,524452465153179648
29,517488016768925698
30,517492858060677121
31,522015459189989377
32,526752345586016256
33,517655214032437248
34,517123238241902593
35,521741783118905344
36,520148525800488960
37,523612428136112129
38,521475243899359234
39,517642935400402944
40,526977845415792641
41,528020855042084864
42,517902086303133696
43,519565870599643137
44,518919907552284673
45,522703994918289408
46,523290234046275584
47,518626972310589440
48,527843678845669376
49,534904371138416640
50,528402208023646208
51,530067231544451072
52,538172438291693568
53,535648991170822144
54,530255079543431168
55,538051568507957248
56,530033844792356864
57,531541301893033987
58,530377513584066560
59,537097864930148352
60,528755119228076034
61,528755244935962624
62,531553359179026432
63,535536750316498944
64,532754790917238784
65,535268214167863296
66,532046999865262080
67,534486793559998464
68,537750817403850753
69,528671308536897536
70,537883288808202241
71,532161840563118080
72,531925211579703296
73,529148548680409089
74,529254946794135552
75,536721729222361088
76,530490864322482176
77,536323933780602880
78,529374879326277632
79,535999923742056448
80,530644288171167745
81,529783824662532096
82,536388242409418752
83,531672729364463617
84,539505061932437504
85,549244624133685249
86,547868499356295169
87,548582237504278529
88,544878782830878721
89,544217103050354688
90,543691875434385408
91,546454987874660352
92,543867722556526592
93,542866600911986688
94,539442068914188288
95,547913790428577793
96,546522082805563392
97,545319827569909760
98,545091174877659136
99,546425231925981184
100,541996050681438208
101,544696737697255425
102,547244445692067841
103,540578450999103488
104,550019633873711104
105,539419531152986112
106,550422602976874496
107,539902486190899200
108,539938600901541888
109,541125414090186753
110,550054450581471232
111,548984264541601792
112,539220159593205761
113,544178683658121216
114,541397259619807234
115,555047447761022976
116,558323599954964480
117,556128894462722048
118,552625292033142784
119,552628667315417088
120,558811895734358016
121,555909264984657921
122,551252699183067136
123,556979000397291520
124,554438015662432258
125,560473103319728129
126,555576219333193728
127,555576305064759296
128,561566101117894656
129,556735091410759681
130,560918567613644800
131,550499107480297472
132,550848673006239744
133,556715655094108160
134,555241292335435776
135,561012735828582400
136,550556515606597632
137,555835261536333824
138,557675406581829633
139,558283116671152129
140,554970012466024448
141,556622530954682368
142,556366693212364800
143,552947962901716993
144,552948878988034050
145,553089952708591616
146,550518222043480064
147,551953376356089856
148,556153500510736387
149,556866106485661698
150,557353031079972865
151,550898672142405632
152,559254358182100992
153,571019763129778176
154,565343866627555331
155,563534203158290433
156,562728801848008706
157,564639038150569984
158,570784926422986752
159,570784968844189698
160,570785795965116416
161,570785879951671296
162,570785985853837312
163,570618550605520896
164,570628244665294848
165,571429982955819008
166,568130514151804928
167,562460285743939584
168,571532130062233601
169,570709409871093761
170,570710838987923459
171,571372500145143808
172,571424138264322048
173,564163129001512960
174,563784116370702336
175,568468420573962240
176,570672786269724672
177,570635047390326784
178,562006747754532864
179,570380104041234433
180,570381087785947137
181,570682118768103424
182,571091552568782848
183,571134715345965056
184,569325509269549056
185,563082959537057793
186,569934865937920001
187,571047499106021377
188,571050818704510976
189,570795735500898305
190,569756047314972672
191,581124389611167744
192,581130501139918848
193,574061553386938368
194,572449990284455936
195,581108528242429953
196,572838350605979649
197,582976007986126848
198,582976152949678081
199,580780458612547585
200,581905736688648194
201,581216223804989442
202,581218846197063680
203,581195379603054592
204,581320903549693952
205,579415447554002944
206,575461121152303105
207,582632277106135040
208,573256795323416576
209,581262913551273984
210,581267525821939712
211,572492764484644864
212,576271831361069058
213,581358648049336320
214,581395021015977984
215,574354607301881857
216,576955742185525249
217,580850473227386880
218,574443827970338816
219,581141930320490496
220,580960141366800385
221,573304521180499969
222,573310067719593984
223,581810026550992896
224,578902260018614273
225,572651081085296640
226,576799224064540672
227,578997974019108864
228,576246277727477761
229,581369777786122241
230,575088592806146048
231,574928442195468288
232,582466022579384320
233,581468972262039552
234,573277155066552321
235,576020863209848832
236,577129907576303616
237,572906589532917760
238,589233202306375681
239,590249124697661441
240,585943789795209216
241,590928264648118273
242,593237235597746176
243,589163831793950722
244,589988048911409152
245,590177368574140416
246,587094844151070722
247,591072955368484865
248,589614470147760128
249,592699588907237377
250,589147702807629826
251,588412968452419584
252,589101863984881664
253,589102017907404800
254,588834881938960386
255,585574512370049024
256,593130516213309440
257,585923797968125953
258,587802263281799168
259,587811647315701761
260,583813081744089088
261,592727796931264513
262,583830546758955008
263,592566371214499841
264,584997499376533504
265,586702905211752448
266,586389719207976962
267,591526390887014400
268,590194126857043968
269,589634503506796544
270,593430195165470720
271,583475577455259648
272,588342253560733696
273,588352616545017856
274,590908143778996224
275,590908308027998208
276,585542344633675778
277,584176149502234625
278,586982247921614851
279,589603007722991616
280,586596048488935425
281,587848095565746176
282,587852279715205120
283,587078538559361024
284,593821844915924992
285,589473714934304769
286,585938619908558848
287,584570636330213376
288,604906788820004865
289,602466083199660032
290,595729530226085888
291,600158093801041920
292,600135211825922048
293,595050859291017216
294,595670765581803520
295,599036734362509312
296,596851427634450432
297,601399215143673856
298,596726045698580480
299,602374946241687553
300,601179055048785920
301,602686264635215872
302,595395672288858112
303,603711172571897856
304,600837230731616256
305,604461506424664065
306,597990927655927809
307,597252709792768000
308,597259829510537217
309,595712926465576961
310,595846433741348865
311,605016514773647362
312,605016804776247296
313,605024002856255489
314,601109801096052737
315,597396004267118592
316,599061051641090048
317,600851751453884416
318,597035200594444288
319,594328942695190528
320,614654634473451520
321,611603019054997504
322,611830963824242688
323,611834148957728768
324,611835123277795328
325,607636398045327360
326,612194728449171456
327,611837621505929216
328,611404586788630528
329,614634435569299458
330,613808923884298240
331,607769668305088512
332,614537089447776260
333,611739408442654721
334,610691830062039040
335,606858411813310464
336,611645696735752193
337,615373771650658304
338,615374847414247424
339,612199835354140673
340,610548296298291200
341,607752443540209664
342,614103775758954496
343,606123405700661250
344,611354331669856256
345,613386562051702784
346,613432604470157312
347,614301696047476736
348,613136621211361280
349,611310134694936577
350,605575968409780224
351,606692923288059904
352,615937709794721792
